entity_class,subject_family,subject_family_raw,document_id,source_url,title,category_heading
Banker and Debt Manager to Government,Relief/Savings Bonds,Relief/Savings Bonds,md_11322,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/61MD0825F724310142CBB351B33F9C3F80FA.PDF,Master Directions on Relief/Savings Bonds,Banker and Debt Manager to Government
Banker and Debt Manager to Government,Operational Guidelines for Primary Dealers,Operational Guidelines for Primary Dealers,md_10476,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/29MD8B47C911ECA14450AACBAEF6D7981EF8.PDF,"Master Direction – Operational Guidelines for Primary Dealers  (Updated as on November 22, 2018)",Banker and Debt Manager to Government
Banker to Governments and Banks,[Conduct of Government Business by Agency Banks (ABs) – Payment of Agency Commission and Oversight of ABs],[Conduct of Government Business by Agency Banks (ABs) – Payment of Agency Commission and Oversight of ABs],md_13443,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/400MDEF6FB735DC5A48308F688DCB9BA11A65.PDF,"Reserve Bank of India [Conduct of Government Business by Agency Banks (ABs) – Payment of Agency Commission and Oversight of ABs] Directions, 2026",Banker to Governments and Banks
Banker to Governments and Banks,[Disbursement of Government Pension by Agency Banks (ABs)],[Disbursement of Government Pension by Agency Banks (ABs)],md_13442,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/399MDAD236E83FDD240EEB29F1F5E2DBAD333.PDF,"Reserve Bank of India [Disbursement of Government Pension by Agency Banks (ABs)] Directions, 2026 (Updated as on June 24, 2026)",Banker to Governments and Banks
Commercial Banks,Internal Ombudsman,Internal Ombudsman,md_13271,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF,"Reserve Bank of India (Commercial Banks - Internal Ombudsman) Directions, 2026",Consumer Education and Protection
Small Finance Banks,Internal Ombudsman,Internal Ombudsman,md_13272,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/381MD140120267212A1D4EF8349448E9416EF8F2D19B5.PDF,"Reserve Bank of India (Small Finance Banks - Internal Ombudsman) Directions, 2026",Consumer Education and Protection
Payments Banks,Internal Ombudsman,Internal Ombudsman,md_13273,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT3821EAEF90E037B4061A91775A5525510C3.PDF,"Reserve Bank of India (Payments Banks - Internal Ombudsman) Directions, 2026",Consumer Education and Protection
Non-Banking Financial Companies,Internal Ombudsman,Internal Ombudsman,md_13274,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/383MD14012026559E41DD96224880B75EDB2B96E4BD8B.PDF,"Reserve Bank of India (Non-Banking Financial Companies - Internal Ombudsman) Directions, 2026",Consumer Education and Protection
Non-Bank Prepaid Payment Instruments Issuers,Internal Ombudsman,Internal Ombudsman,md_13275,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/384MD14012026E275757688DE4E68AF9813B3B9491E4B.PDF,"Reserve Bank of India (Non-Bank Prepaid Payment Instruments Issuers - Internal Ombudsman) Directions, 2026",Consumer Education and Protection
Credit Information Companies,Internal Ombudsman,Internal Ombudsman,md_13276,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT38578CF3B232A694DBEAB2A9CE71848DCA1.PDF,"Reserve Bank of India (Credit Information Companies - Internal Ombudsman) Directions, 2026",Consumer Education and Protection
Consumer Education and Protection,Reserve Bank of India (Internal Ombudsman for Regulated Entities),Reserve Bank of India (Internal Ombudsman for Regulated Entities),md_12586,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,"Master Direction - Reserve Bank of India (Internal Ombudsman for Regulated Entities) Directions, 2023",Consumer Education and Protection
Commercial Banks - Capital Charge for Credit Risk,Standardised Approach,Standardised Approach,md_13399,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/397MD7DCC951F9F014A738C60E0FBC1A73D70.PDF,"Reserve Bank of India (Commercial Banks - Capital Charge for Credit Risk – Standardised Approach) Directions, 2026 (Effective from April 1, 2027)",Commercial Banks
Commercial Banks,"Asset Classification, Provisioning and Income Recognition","Asset Classification, Provisioning and Income Recognition",md_13400,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD39857992A3DBE7946619F0F76DF81E472CF.PDF,"Reserve Bank of India (Commercial Banks - Asset Classification, Provisioning and Income Recognition) Directions, 2026",Commercial Banks
Commercial Banks,Prudential Norms on Declaration of Dividend and Remittances of Profits,Prudential Norms on Declaration of Dividend and Remittances of Profits,md_13319,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/387MD1003202698CBFA3D29254532B33C97C231B6F7D8.PDF,"Reserve Bank of India (Commercial Banks – Prudential Norms on Declaration of Dividend and Remittances of Profits) Directions, 2026",Commercial Banks
Commercial Banks,Miscellaneous,Miscellaneous,md_13136,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/174MD.PDF,"Reserve Bank of India (Commercial Banks – Miscellaneous) Directions, 2025",Commercial Banks
Commercial Banks,Forthcoming Instructions,Forthcoming Instructions,md_13137,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/173MD.PDF,"Reserve Bank of India (Commercial Banks – Forthcoming Instructions) Directions, 2025",Commercial Banks
Commercial Banks,Climate Finance and Management of Climate Change Risks,Climate Finance and Management of Climate Change Risks,md_13138,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/172MD.PDF,"Reserve Bank of India (Commercial Banks - Climate Finance and Management of Climate Change Risks) Directions, 2025",Commercial Banks
