document_id,source_url,url_basename,entity_class_raw,title
md_10476,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/29MD8B47C911ECA14450AACBAEF6D7981EF8.PDF,29MD8B47C911ECA14450AACBAEF6D7981EF8.PDF,Banker and Debt Manager to Government,"Master Direction – Operational Guidelines for Primary Dealers  (Updated as on November 22, 2018)"
md_11322,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/61MD0825F724310142CBB351B33F9C3F80FA.PDF,61MD0825F724310142CBB351B33F9C3F80FA.PDF,Banker and Debt Manager to Government,Master Directions on Relief/Savings Bonds
md_12586,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,Consumer Education and Protection,"Master Direction - Reserve Bank of India (Internal Ombudsman for Regulated Entities) Directions, 2023"
md_13087,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/221MD.PDF,221MD.PDF,Payments Banks,"Reserve Bank of India (Payments Banks – Miscellaneous) Directions, 2025 (Updated as on April 01, 2026)"
md_13088,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/220MD.PDF,220MD.PDF,Payments Banks,"Reserve Bank of India (Payments Banks – Managing Risks in Outsourcing) Directions, 2025"
md_13089,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/219MD.PDF,219MD.PDF,Payments Banks,"Reserve Bank of India (Payments Banks – Responsible Business Conduct) Directions, 2025 (Updated as on April 1, 2026)"
md_13105,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/204MD.PDF,204MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Miscellaneous) Directions, 2025"
md_13106,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/203MD.PDF,203MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Climate Finance and Management of Climate Change Risks) Directions, 2025"
md_13107,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/202MD.PDF,202MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Managing Risks in Outsourcing) Directions, 2025"
md_13108,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/201MD.PDF,201MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)"
md_13109,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/200MD.PDF,200MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)"
md_13111,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/198MD.PDF,198MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks - Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on July 01, 2026)"
md_13112,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/197MD.PDF,197MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025"
md_13113,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/196MD.PDF,196MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Resolution of Stressed Assets) Directions, 2025 (Updated as on July 01, 2026)"
