label_id,akash_pass1_differential_flag,akash_pass1_applies_to,karan_pass1_differential_flag,karan_pass1_applies_to,meer_pass1_differential_flag,meer_pass1_applies_to,category
t1_pilot_md_12061::p00055_00,shared,Commercial Banks;Non-Banking Financial Companies;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,class-specific,Commercial Banks;Non-Banking Financial Companies;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,class-specific,Commercial Banks;Non-Banking Financial Companies;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,needs-adjudication
t1_pilot_md_12927::p00046_00,shared,All India Financial Institutions;Asset Reconstruction Companies;Commercial Banks;Foreign Exchange Management;Local Area Banks;Non-Banking Financial Companies;Payment and Settlement System;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,shared,All India Financial Institutions;Asset Reconstruction Companies;Commercial Banks;Foreign Exchange Management;Local Area Banks;Non-Banking Financial Companies;Payment and Settlement System;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,shared,All India Financial Institutions;Asset Reconstruction Companies;Commercial Banks;Foreign Exchange Management;Local Area Banks;Non-Banking Financial Companies;Payment and Settlement System;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,akash+karan+meer
t1_pilot_md_12958::p00018_00,absent,Non-Banking Financial Companies,absent,Non-Banking Financial Companies,absent,Non-Banking Financial Companies,akash+karan+meer
t1_pilot_md_12983::p01671_00,shared,All India Financial Institutions;Commercial Banks;Small Finance Banks,shared,All India Financial Institutions;Commercial Banks;Small Finance Banks,shared,All India Financial Institutions;Commercial Banks;Small Finance Banks,akash+karan+meer
t1_pilot_md_13042::p00070_00,class-specific,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,class-specific,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,class-specific,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,akash+karan+meer
t1_pilot_md_13042::p00070_01,class-specific,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,class-specific,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,shared,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,needs-adjudication
t1_pilot_md_13042::p00070_02,class-specific,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,class-specific,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,shared,All India Financial Institutions;Commercial Banks;Local Area Banks;Non-Banking Financial Companies;Regional Rural Banks;Small Finance Banks;Urban Co-operative Banks,needs-adjudication
t1_pilot_md_13361::p00015_00,shared,Commercial Banks;Local Area Banks;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,shared,Commercial Banks;Local Area Banks;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,shared,Commercial Banks;Local Area Banks;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,akash+karan+meer
t1_pilot_md_13361::p00015_01,shared,Commercial Banks;Local Area Banks;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,shared,Commercial Banks;Local Area Banks;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,shared,Commercial Banks;Local Area Banks;Payments Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks;Urban Co-operative Banks,akash+karan+meer
t1_pilot_md_13525::p00050_00,shared,Commercial Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks,shared,Commercial Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks,shared,Commercial Banks;Regional Rural Banks;Rural Co-operative Banks;Small Finance Banks,akash+karan+meer
